_id,Neighborhood,Sector #,Population (2010),#Part 1 (Major Crime) Reports (2010),#Part 2 Reports (2010),#Other Police Reports (2010),Part 1 Crime per 100 Persons (2010),Part 2 Crime per 100 Persons (2010),#Murder (2010),#Rape (2010),#Robbery (2010),#Agr. Assault (2010),#Burglary (2010),#Auto Theft (2010),#Drug Violations (2010)
1,Allegheny Center,3,933,71,141,46,7.609860664523040441054035909473896026611328125,15.1125401929259997046983698965050280094146728515625,0,2,9,5,8,5,31
2,Allegheny West,3,462,38,49,31,8.2251082251082205942793734720908105373382568359375,10.6060606060606001932455910718999803066253662109375,1,0,4,6,6,4,12
3,Allentown,6,2500,159,252,160,6.36000000000000031974423109204508364200592041015625,10.0800000000000000710542735760100185871124267578125,0,2,15,23,48,11,66
4,Arlington,7,1869,50,84,48,2.675227394328520080790667634573765099048614501953125,4.494382022471910431704600341618061065673828125,0,1,8,5,15,7,9
5,Arlington Heights,7,244,19,37,24,7.786885245901640217880412819795310497283935546875,15.1639344262295008292085185530595481395721435546875,0,0,4,5,5,3,7
6,Banksville,5,4144,62,81,61,1.49613899613899992147025841404683887958526611328125,1.954633204633200005417847933131270110607147216796875,0,0,2,5,9,5,7
7,Bedford Dwellings,15,1202,42,80,38,3.494176372712149980515050629037432372570037841796875,6.65557404326122981075286588747985661029815673828125,0,0,7,8,8,2,25
8,Beechview,5,7974,193,303,148,2.4203661901178801230116732767783105373382568359375,3.799849510910460193002791129401884973049163818359375,1,1,7,9,47,37,29
9,Beltzhoover,6,1925,83,131,85,4.31168831168831001576791095430962741374969482421875,6.8051948051947999118738152901642024517059326171875,1,0,6,10,28,8,38
10,Bloomfield,12,8442,453,371,296,5.36602700781805008745095619815401732921600341796875,4.39469320066335011887304062838666141033172607421875,0,3,45,20,70,36,42
11,Bluff,15,6600,105,191,132,1.590909090909089940168996690772473812103271484375,2.89393939393939003679179222672246396541595458984375,0,0,12,11,14,14,37
12,Bon Air,6,808,26,55,38,3.217821782178219791603623889386653900146484375,6.8069306930693098678375463350676000118255615234375,0,0,1,4,7,1,11
13,Brighton Heights,2,7247,241,286,151,3.32551400579550016090024655568413436412811279296875,3.946460604388020154686955720535479485988616943359375,0,2,17,23,69,29,34
14,Brookline,5,13214,241,392,248,1.823823217799299900576670552254654467105865478515625,2.966550628121690014182831873768009245395660400390625,0,1,12,24,43,27,36
15,California-Kirkbride,3,761,64,89,74,8.409986859395530700567178428173065185546875,11.695137976346899222335196100175380706787109375,1,0,1,6,12,9,48
16,Carrick,5,10113,453,539,355,4.4793829724117504298419589758850634098052978515625,5.32977355878572023328842988121323287487030029296875,1,2,49,28,118,48,58
17,Central Business District,16,3629,789,566,386,21.74152659134750109615197288803756237030029296875,15.5965830807384993050845878315158188343048095703125,0,4,55,27,66,20,66
18,Central Lawrenceville,13,4482,177,231,169,3.949129852744309943091138848103582859039306640625,5.15394912985274000760682611144147813320159912109375,0,1,18,12,25,34,40
19,Central Northside,3,2923,118,246,93,4.03694834074580999327963581890799105167388916015625,8.416010947656520357895715278573334217071533203125,0,1,15,10,29,12,58
20,Central Oakland,14,6086,236,164,139,3.877752218205719803023612257675267755985260009765625,2.6947091685836301877543519367463886737823486328125,0,1,23,8,66,14,7
21,Chartiers City,4,477,9,20,15,1.88679245283019003665003765490837395191192626953125,4.19287211740042042862341986619867384433746337890625,0,0,0,4,2,2,3
22,Chateau,3,11,16,24,48,145.454545454545012717062490992248058319091796875,218.181818181817988033799338154494762420654296875,0,0,1,0,0,2,14
23,Crafton Heights,4,3814,89,150,68,2.333508127949659893829448265023529529571533203125,3.932878867330889871567478621727786958217620849609375,0,2,4,7,29,8,23
24,Crawford-Roberts,15,2256,129,197,102,5.71808510638298006512059146189130842685699462890625,8.73226950354609954274565097875893115997314453125,0,0,16,10,20,21,90
25,Duquesne Heights,6,2425,55,44,50,2.26804123711340022140348082757554948329925537109375,1.814432989690720088304942692047916352748870849609375,0,0,0,4,21,5,2
26,East Allegheny,3,2136,234,317,128,10.9550561797752994408483573351986706256866455078125,14.8408239700374995351239704177714884281158447265625,0,2,32,28,40,23,73
27,East Carnegie,4,570,9,11,11,1.578947368421049990416804575943388044834136962890625,1.9298245614035101080929734962410293519496917724609375,0,0,0,1,5,0,0
28,East Hills,11,3169,90,136,88,2.84001262227832018680828696233220398426055908203125,4.29157462922056964771400089375674724578857421875,0,0,13,16,25,11,18
29,East Liberty,12,5869,488,446,302,8.31487476571818007187175680883228778839111328125,7.59925029817685970812135565211065113544464111328125,2,2,63,40,64,59,57
30,Elliott,4,2381,105,165,97,4.40991180176396024847917942679487168788909912109375,6.92986140277194007097705252817831933498382568359375,2,0,18,7,22,10,23
31,Esplen,4,301,31,68,17,10.299003322259100201563342125155031681060791015625,22.591362126245801533741541788913309574127197265625,0,0,5,3,10,6,11
32,Fairywood,4,1002,3,6,9,0.29940119760479000365904767022584564983844757080078125,0.59880239520958100651881750309257768094539642333984375,0,0,0,0,1,0,0
33,Fineview,3,1285,70,162,41,5.44747081712062009017927266540937125682830810546875,12.607003891050599264644915820099413394927978515625,1,1,6,19,19,8,59
34,Friendship,12,1785,89,44,36,4.9859943977591001385007984936237335205078125,2.46498599439776011621461293543688952922821044921875,0,0,7,4,9,15,8
35,Garfield,12,3675,182,213,159,4.95238095238094988559396369964815676212310791015625,5.79591836734693988120170615729875862598419189453125,2,1,14,11,50,35,39
36,Glen Hazel,9,716,10,33,16,1.39664804469274006493151318863965570926666259765625,4.608938547486030046229643630795180797576904296875,0,1,2,2,3,1,2
37,Greenfield,9,7294,145,170,153,1.9879352892788599849183128753793425858020782470703125,2.33068275294762994320763027644716203212738037109375,0,2,7,6,43,15,23
38,Hays,8,362,15,17,7,4.1436464088397801930341302067972719669342041015625,4.6961325966850804292107568471692502498626708984375,0,0,0,1,5,4,1
39,Hazelwood,9,4317,159,215,124,3.683113273106319862648661001003347337245941162109375,4.9803104007412599685267196036875247955322265625,1,0,10,17,47,25,44
40,Highland Park,12,6395,182,165,140,2.845973416731820027081312218797393143177032470703125,2.58014073494917983708774045226164162158966064453125,1,0,14,8,25,20,45
41,Homewood North,11,3280,198,190,135,6.03658536585365990134732783189974725246429443359375,5.7926829268292703289944256539456546306610107421875,3,3,14,33,68,24,23
42,Homewood South,11,2344,243,274,197,10.3668941979522006846536896773613989353179931640625,11.6894197952218004132873829803429543972015380859375,4,0,38,25,74,30,50
43,Homewood West,11,818,56,75,52,6.8459657701711496002872081589885056018829345703125,9.1687041564792206571610222454182803630828857421875,1,0,8,3,11,13,7
44,Knoxville,6,3747,223,392,170,5.95142780891379974406163455569185316562652587890625,10.4617026954897003321320880786515772342681884765625,2,3,25,29,83,21,113
45,Larimer,12,1728,139,125,90,8.0439814814814791787966896663419902324676513671875,7.23379629629630027665143643389455974102020263671875,3,1,16,19,33,24,22
46,Lincoln Place,8,3227,32,63,33,0.99163309575457103672846415065578185021877288818359375,1.952277657266809907099514020956121385097503662109375,0,0,1,3,11,2,0
47,Lincoln-Lemington-Belmar,11,4883,133,176,113,2.723735408560310045089636332704685628414154052734375,3.6043415932828199998994023189879953861236572265625,0,0,19,13,34,19,15
48,Lower Lawrenceville,13,2341,107,126,80,4.57069628363947000337930148816667497158050537109375,5.3823152498932103071638266555964946746826171875,0,2,6,9,29,16,21
49,Manchester,3,2130,69,137,63,3.2394366197183099842504816479049623012542724609375,6.4319248826291097742569036199711263179779052734375,0,0,7,8,19,12,44
50,Marshall-Shadeland,2,6043,222,307,126,3.673672017209999918208040980971418321132659912109375,5.080258149925530375412563444115221500396728515625,1,0,26,24,65,21,31
51,Middle Hill,15,1707,114,234,126,6.67838312829525992952994783991016447544097900390625,13.708260105448200505406930460594594478607177734375,0,0,16,10,17,25,102
52,Morningside,12,3346,67,91,65,2.002390914524810217045569515903480350971221923828125,2.719665271966530184499788447283208370208740234375,0,0,2,2,21,15,12
53,Mount Washington,6,8799,434,428,282,4.9323786793953896534503655857406556606292724609375,4.8641891123991403134141364716924726963043212890625,0,3,22,23,115,38,44
54,Mt. Oliver,7,509,12,28,16,2.357563850687620199408911503269337117671966552734375,5.50098231827112016389946802519261837005615234375,0,1,0,4,1,3,2
55,New Homestead,8,990,7,4,9,0.7070707070707069608062056431663222610950469970703125,0.40404040404040397760354608180932700634002685546875,0,0,0,0,1,2,1
56,North Oakland,14,10551,182,136,160,1.7249549805705599592187127200304530560970306396484375,1.2889773481186599379810786558664403855800628662109375,0,0,16,7,35,13,12
57,North Shore,16,303,72,68,43,23.762376237623801245035792817361652851104736328125,22.442244224422399412333106738515198230743408203125,0,0,1,6,7,5,8
58,Northview Heights,1,1214,63,126,30,5.1894563426688602447711673448793590068817138671875,10.378912685337699173260261886753141880035400390625,1,0,6,17,16,1,19
59,Oakwood,4,1027,14,14,23,1.363193768257060067838892791769467294216156005859375,1.363193768257060067838892791769467294216156005859375,0,0,2,1,2,1,2
60,Overbrook,5,3644,73,92,98,2.003293084522499878374901527422480285167694091796875,2.5246981339187701820492293336428701877593994140625,0,0,4,7,26,14,9
61,Perry North,2,4050,112,199,77,2.7654320987654301688962732441723346710205078125,4.91358024691357986313278161105699837207794189453125,1,0,6,8,45,12,31
62,Perry South,2,4145,221,310,132,5.33172496984318033952376936213113367557525634765625,7.4788902291917995768244509235955774784088134765625,2,0,11,29,82,28,87
63,Point Breeze,10,5315,116,72,68,2.182502351834429976662477201898582279682159423828125,1.354656632173099950477990205399692058563232421875,0,0,6,3,29,4,13
