_id,date,center_name,attendance_count
48827824,2025-11-04,Ormsby Community Center,6
48827825,2025-11-04,Phillips Community Center,2
48827826,2025-11-04,Magee Community Center,41
48827827,2025-11-03,Arlington Community Center,15
48827828,2025-11-03,Brookline Community Center,43
48827829,2025-11-03,Ormsby Community Center,14
48827830,2025-11-03,Phillips Community Center,34
48827831,2025-11-03,Paulson Community Center,22
48827832,2025-11-03,Warrington Community Center,70
48827833,2025-11-03,Magee Community Center,30
48827834,2025-11-03,Jefferson Community Center,32
48827835,2025-11-03,West Penn Community Center,96
48827836,2025-11-01,Ormsby Community Center,4
48827837,2025-11-01,Warrington Community Center,5
48827838,2025-11-01,Magee Community Center,7
48827839,2025-11-01,West Penn Community Center,50
48827840,2025-10-31,Brookline Community Center,21
48827841,2025-10-31,Arlington Community Center,12
48827842,2025-10-31,Ormsby Community Center,5
48827843,2025-10-31,Paulson Community Center,9
48827844,2025-10-31,Phillips Community Center,7
48827845,2025-10-31,Warrington Community Center,26
48827846,2025-10-31,Magee Community Center,13
48827847,2025-10-31,Jefferson Community Center,13
48827848,2025-10-31,West Penn Community Center,71
48827849,2025-10-30,Arlington Community Center,8
48827850,2025-10-30,Brookline Community Center,29
48827851,2025-10-30,Ormsby Community Center,5
48827852,2025-10-30,Phillips Community Center,40
48827853,2025-10-30,Paulson Community Center,11
48827854,2025-10-30,Warrington Community Center,54
48827855,2025-10-30,Jefferson Community Center,38
48827856,2025-10-30,Magee Community Center,24
48827857,2025-10-30,West Penn Community Center,64
48827858,2025-10-29,Ammon Community Center,55
48827859,2025-10-29,Brookline Community Center,20
48827860,2025-10-29,Arlington Community Center,2
48827861,2025-10-29,Ormsby Community Center,15
48827862,2025-10-29,Paulson Community Center,16
48827863,2025-10-29,Phillips Community Center,49
48827864,2025-10-29,Warrington Community Center,41
48827865,2025-10-29,Magee Community Center,25
48827866,2025-10-29,Jefferson Community Center,68
48827867,2025-10-29,West Penn Community Center,83
48827868,2025-10-28,Ammon Community Center,13
48827869,2025-10-28,Arlington Community Center,37
48827870,2025-10-28,Brookline Community Center,55
48827871,2025-10-28,Ormsby Community Center,9
48827872,2025-10-28,Phillips Community Center,42
48827873,2025-10-28,Paulson Community Center,11
48827874,2025-10-28,Warrington Community Center,52
48827875,2025-10-28,Jefferson Community Center,59
48827876,2025-10-28,Magee Community Center,31
48827877,2025-10-28,West Penn Community Center,92
48827878,2025-10-27,Brookline Community Center,31
48827879,2025-10-27,Arlington Community Center,13
48827880,2025-10-27,Ormsby Community Center,7
48827881,2025-10-27,Paulson Community Center,19
48827882,2025-10-27,Phillips Community Center,57
48827883,2025-10-27,Warrington Community Center,59
48827884,2025-10-27,Magee Community Center,23
48827885,2025-10-27,Jefferson Community Center,39
48827886,2025-10-27,West Penn Community Center,72
48827887,2025-10-26,Magee Community Center,1
48827888,2025-10-25,Ormsby Community Center,1
48827889,2025-10-25,Magee Community Center,3
48827890,2025-10-25,West Penn Community Center,36
48827891,2025-10-24,Arlington Community Center,30
48827892,2025-10-24,Brookline Community Center,22
48827893,2025-10-24,Ormsby Community Center,7
48827894,2025-10-24,Phillips Community Center,4
48827895,2025-10-24,Paulson Community Center,20
48827896,2025-10-24,Warrington Community Center,39
48827897,2025-10-24,Magee Community Center,16
48827898,2025-10-24,West Penn Community Center,78
48827899,2025-10-23,Ammon Community Center,36
48827900,2025-10-23,Brookline Community Center,35
48827901,2025-10-23,Arlington Community Center,15
48827902,2025-10-23,Ormsby Community Center,4
48827903,2025-10-23,Paulson Community Center,15
48827904,2025-10-23,Phillips Community Center,25
48827905,2025-10-23,Warrington Community Center,25
48827906,2025-10-23,Magee Community Center,20
48827907,2025-10-23,Jefferson Community Center,60
48827908,2025-10-23,West Penn Community Center,150
48827909,2025-10-22,Ammon Community Center,22
48827910,2025-10-22,Arlington Community Center,47
48827911,2025-10-22,Brookline Community Center,29
48827912,2025-10-22,Ormsby Community Center,13
48827913,2025-10-22,Phillips Community Center,79
48827914,2025-10-22,Paulson Community Center,14
48827915,2025-10-22,Warrington Community Center,20
48827916,2025-10-22,Jefferson Community Center,48
48827917,2025-10-22,Magee Community Center,24
48827918,2025-10-22,West Penn Community Center,56
48827919,2025-10-21,Brookline Community Center,49
48827920,2025-10-21,Arlington Community Center,17
48827921,2025-10-21,Ormsby Community Center,5
48827922,2025-10-21,Paulson Community Center,13
48827923,2025-10-21,Phillips Community Center,50
48827924,2025-10-21,Warrington Community Center,69
48827925,2025-10-21,Magee Community Center,29
48827926,2025-10-21,Jefferson Community Center,44
48827927,2025-10-21,West Penn Community Center,141
48827928,2025-10-20,Arlington Community Center,13
48827929,2025-10-20,Brookline Community Center,37
48827930,2025-10-20,Ormsby Community Center,16
48827931,2025-10-20,Phillips Community Center,66
48827932,2025-10-20,Paulson Community Center,13
48827933,2025-10-20,Warrington Community Center,42
48827934,2025-10-20,Jefferson Community Center,59
48827935,2025-10-20,Magee Community Center,24
48827936,2025-10-20,West Penn Community Center,58
48827937,2025-10-18,Phillips Community Center,2
48827938,2025-10-18,Warrington Community Center,7
48827939,2025-10-18,Magee Community Center,5
48827940,2025-10-18,West Penn Community Center,56
48827941,2025-10-17,Brookline Community Center,19
48827942,2025-10-17,Arlington Community Center,19
48827943,2025-10-17,Ormsby Community Center,4
48827944,2025-10-17,Phillips Community Center,36
48827945,2025-10-17,Paulson Community Center,1
48827946,2025-10-17,Warrington Community Center,40
48827947,2025-10-17,Magee Community Center,16
48827948,2025-10-17,Jefferson Community Center,28
48827949,2025-10-17,West Penn Community Center,35
48827950,2025-10-16,Ammon Community Center,17
48827951,2025-10-16,Arlington Community Center,8
48827952,2025-10-16,Brookline Community Center,30
48827953,2025-10-16,Ormsby Community Center,12
48827954,2025-10-16,Paulson Community Center,14
48827955,2025-10-16,Phillips Community Center,56
48827956,2025-10-16,Warrington Community Center,31
48827957,2025-10-16,Jefferson Community Center,62
48827958,2025-10-16,Magee Community Center,10
48827959,2025-10-16,West Penn Community Center,81
48827960,2025-10-15,Ammon Community Center,26
48827961,2025-10-15,Brookline Community Center,17
48827962,2025-10-15,Arlington Community Center,58
48827963,2025-10-15,Ormsby Community Center,11
